Text,Sentiment,ReplyToText,ReplyToSentiment,IsSarcastic
Does she want Barstool Sports in a Congressional hearing Because that s how you get Barstool Sports at a Congressional hearing ,Negative,@AOC @NLRB @AFLCIO Shut up,Neutral,1
Gee the Left Screaming Machine is silent when it comes to facts logic Constitutional Law or anything else that fits into our system We are to blame since we allowed the socialist Teachers Unions to take over our schools We sent moms to work to copy Socialists ,Neutral,Why can't you answer my question public servant? How many cops have you arrested and or cited for breaking the law? https://t.co/BdC90yW0Ra,Negative,1
Yeah don t like unions ,Neutral,@RafiLetzter @stoolpresidente @ringer Man everyone is out here acting like unions are a bad thing there's a reason why they average higher wages/better benefits.,Negative,0
Unions ensure worker rights comerade ,Neutral,@munkimunkerson That would mean firing all of the DMV rejects working in education and if you do that you'll be called a racist. Also it's legally impossible since the unions have full reign on the education system and schools.,Negative,0
The same person who chased away Amazon from NYC Is lecturing about anti union sentiments Barstool ,Neutral,New: Labor law professors and former Labor Board officials say @barstoolsports founder @stoolpresidente’s anti-union threats on twitter blatantly violate federal law https://t.co/AcEUC2KjX1 Here’s some of what legal experts said:,Negative,1
This is satire but also maybe spit in their food if no one is looking Spit in Barstool Sports fans food Identify them because they are wearing Barstool T shirt s Again satire ,Negative,Fun fact: it’s not illegal to refuse service to someone wearing Barstool shirts as long as you don’t tell them why they have to leave the restaurant,Negative,1
2016 Magic Johnson survived Larry Byrd HIV and the Laker s tomfoolery He ain t leaving us just yet,Negative,Saw Magic Johnson was trending on twitter. Got scared for a second lol https://t.co/uE138cYnRA,Negative,0
Carrabis You never know with portnoy Not like barstool actually wanted to unionize from what it seems ,Negative,@Mitch_Griffin01 @Jared_Carrabis I don’t think Dave was joking in his original post,Negative,0
Congrats You and the internet been completely trolled by and the entire barstool content people bloggers Oh and Please debate him ,Negative,Bosses don’t wield all the power. Workers have plenty - yet many don’t know it! Study up &amp;search the history of labor rights in America. School doesn’t teach the history of the US labor mvmt but we have weekends bc of it. &amp; We risk losing rights if we forget how we earned them. https://t.co/Hla7r4grwi,Negative,1
It s hard for me to compare not knowing what country you hail from But here typically the role of unions is to establish contracts between the bargaining unit the unionized employees which set out expectations and rules for both parties as work commences as compensation ,Negative,@wizardofcause @DustinGeels @stoolpresidente @barstoolsports Seems so odd. Here unions are organized broadly along level of skill throughout the country. Most low skilled/ trade-school educated workers are unionized together. I myself is in union for engineers. you say day to day issues do unions have a say in how the business is run?,Negative,0
Final fantasy 7 GTA San Andreas Stopped playing console games ,Neutral,Don't think about it just answer: First game that comes to mind for each PlayStation generation so far? Go. PS1: _________________ PS2: _________________ PS3: _________________ PS4: _________________,Neutral,0
austin always pleiades a 40 mind And unions were exempt from collusion laws So auto workers unions would collaborate conspire shift their strike funds to 1 plant and shut that plant down for extended periods of time selecting a plant that would have ripple effects throughout the company,Negative,@DavidRas666 @Fueldog1 @Lynnielee5 @judybalda @RCQ92130 @AndyJr38298090 @8BrianVogel4 @kuhndsn @eriatarrka @deplorablesML68 @PAMueller3 @SaveAslave @JamesCo69259865 @KnucklDraginSam @NoobamaC @PPPTCE @Donster2112 @lovie_austin @RockRaccoon @edbenson98 @thomascarolan12 @gomaketime @MarkHvette08 @Tazatator @misterdish69 @FedUp1971 @LambAway @FiercekittyHQ @ScreamngEagle @LibNonentity @MolfeseW @Schanette55 @japvanvugt @jimbo_always @tharon_pleiades @CubeSteve @Exorcist1949 @Carry_a_40 @liberalhonesty @wisecc1 @TweetStreetInt1 @BetterWay16 @Lisa9Liz @Observant_mind @jwmario @Helen47 @marionebridge @StarSpangledVet @LegendaryPask @Brialalexi Unions were needed pre 1930s The got fair wages Vacation time &amp; security But after 1930 they went power crazy.,Negative,0
